.---------------------------------------------------------------------------------------------------.
|                                        Netlify API Methods                                        |
|---------------------------------------------------------------------------------------------------|
|         API Method          |                              Docs Link                              |
|-----------------------------|---------------------------------------------------------------------|
| listSites                   | https://open-api.netlify.com/#operation/listSites                   |
| createSite                  | https://open-api.netlify.com/#operation/createSite                  |
| getSite                     | https://open-api.netlify.com/#operation/getSite                     |
| updateSite                  | https://open-api.netlify.com/#operation/updateSite                  |
| deleteSite                  | https://open-api.netlify.com/#operation/deleteSite                  |
| provisionSiteTLSCertificate | https://open-api.netlify.com/#operation/provisionSiteTLSCertificate |
| showSiteTLSCertificate      | https://open-api.netlify.com/#operation/showSiteTLSCertificate      |
| getAllCertificates          | https://open-api.netlify.com/#operation/getAllCertificates          |
| getEnvVars                  | https://open-api.netlify.com/#operation/getEnvVars                  |
| createEnvVars               | https://open-api.netlify.com/#operation/createEnvVars               |
| getSiteEnvVars              | https://open-api.netlify.com/#operation/getSiteEnvVars              |
| getEnvVar                   | https://open-api.netlify.com/#operation/getEnvVar                   |
| updateEnvVar                | https://open-api.netlify.com/#operation/updateEnvVar                |
| setEnvVarValue              | https://open-api.netlify.com/#operation/setEnvVarValue              |
| deleteEnvVar                | https://open-api.netlify.com/#operation/deleteEnvVar                |
| deleteEnvVarValue           | https://open-api.netlify.com/#operation/deleteEnvVarValue           |
| searchSiteFunctions         | https://open-api.netlify.com/#operation/searchSiteFunctions         |
| listSiteForms               | https://open-api.netlify.com/#operation/listSiteForms               |
| deleteSiteForm              | https://open-api.netlify.com/#operation/deleteSiteForm              |
| listSiteSubmissions         | https://open-api.netlify.com/#operation/listSiteSubmissions         |
| listSiteFiles               | https://open-api.netlify.com/#operation/listSiteFiles               |
| listSiteAssets              | https://open-api.netlify.com/#operation/listSiteAssets              |
| createSiteAsset             | https://open-api.netlify.com/#operation/createSiteAsset             |
| getSiteAssetInfo            | https://open-api.netlify.com/#operation/getSiteAssetInfo            |
| updateSiteAsset             | https://open-api.netlify.com/#operation/updateSiteAsset             |
| deleteSiteAsset             | https://open-api.netlify.com/#operation/deleteSiteAsset             |
| getSiteAssetPublicSignature | https://open-api.netlify.com/#operation/getSiteAssetPublicSignature |
| getSiteFileByPathName       | https://open-api.netlify.com/#operation/getSiteFileByPathName       |
| purgeCache                  | https://open-api.netlify.com/#operation/purgeCache                  |
| listSiteSnippets            | https://open-api.netlify.com/#operation/listSiteSnippets            |
| createSiteSnippet           | https://open-api.netlify.com/#operation/createSiteSnippet           |
| getSiteSnippet              | https://open-api.netlify.com/#operation/getSiteSnippet              |
| updateSiteSnippet           | https://open-api.netlify.com/#operation/updateSiteSnippet           |
| deleteSiteSnippet           | https://open-api.netlify.com/#operation/deleteSiteSnippet           |
| getSiteMetadata             | https://open-api.netlify.com/#operation/getSiteMetadata             |
| updateSiteMetadata          | https://open-api.netlify.com/#operation/updateSiteMetadata          |
| listSiteBuildHooks          | https://open-api.netlify.com/#operation/listSiteBuildHooks          |
| createSiteBuildHook         | https://open-api.netlify.com/#operation/createSiteBuildHook         |
| getSiteBuildHook            | https://open-api.netlify.com/#operation/getSiteBuildHook            |
| updateSiteBuildHook         | https://open-api.netlify.com/#operation/updateSiteBuildHook         |
| deleteSiteBuildHook         | https://open-api.netlify.com/#operation/deleteSiteBuildHook         |
| listSiteDeploys             | https://open-api.netlify.com/#operation/listSiteDeploys             |
| createSiteDeploy            | https://open-api.netlify.com/#operation/createSiteDeploy            |
| getSiteDeploy               | https://open-api.netlify.com/#operation/getSiteDeploy               |
| updateSiteDeploy            | https://open-api.netlify.com/#operation/updateSiteDeploy            |
| deleteSiteDeploy            | https://open-api.netlify.com/#operation/deleteSiteDeploy            |
| cancelSiteDeploy            | https://open-api.netlify.com/#operation/cancelSiteDeploy            |
| restoreSiteDeploy           | https://open-api.netlify.com/#operation/restoreSiteDeploy           |
| listSiteBuilds              | https://open-api.netlify.com/#operation/listSiteBuilds              |
| createSiteBuild             | https://open-api.netlify.com/#operation/createSiteBuild             |
| listSiteDeployedBranches    | https://open-api.netlify.com/#operation/listSiteDeployedBranches    |
| unlinkSiteRepo              | https://open-api.netlify.com/#operation/unlinkSiteRepo              |
| enableSite                  | https://open-api.netlify.com/#operation/enableSite                  |
| disableSite                 | https://open-api.netlify.com/#operation/disableSite                 |
| getSiteBuild                | https://open-api.netlify.com/#operation/getSiteBuild                |
| updateSiteBuildLog          | https://open-api.netlify.com/#operation/updateSiteBuildLog          |
| notifyBuildStart            | https://open-api.netlify.com/#operation/notifyBuildStart            |
| getAccountBuildStatus       | https://open-api.netlify.com/#operation/getAccountBuildStatus       |
| getDNSForSite               | https://open-api.netlify.com/#operation/getDNSForSite               |
| configureDNSForSite         | https://open-api.netlify.com/#operation/configureDNSForSite         |
| rollbackSiteDeploy          | https://open-api.netlify.com/#operation/rollbackSiteDeploy          |
| getDeploy                   | https://open-api.netlify.com/#operation/getDeploy                   |
| deleteDeploy                | https://open-api.netlify.com/#operation/deleteDeploy                |
| updateDeployValidations     | https://open-api.netlify.com/#operation/updateDeployValidations     |
| lockDeploy                  | https://open-api.netlify.com/#operation/lockDeploy                  |
| unlockDeploy                | https://open-api.netlify.com/#operation/unlockDeploy                |
| uploadDeployFile            | https://open-api.netlify.com/#operation/uploadDeployFile            |
| uploadDeployFunction        | https://open-api.netlify.com/#operation/uploadDeployFunction        |
| updatePlugin                | https://open-api.netlify.com/#operation/updatePlugin                |
| getLatestPluginRuns         | https://open-api.netlify.com/#operation/getLatestPluginRuns         |
| createPluginRun             | https://open-api.netlify.com/#operation/createPluginRun             |
| listFormSubmissions         | https://open-api.netlify.com/#operation/listFormSubmissions         |
| listHooksBySiteId           | https://open-api.netlify.com/#operation/listHooksBySiteId           |
| createHookBySiteId          | https://open-api.netlify.com/#operation/createHookBySiteId          |
| getHook                     | https://open-api.netlify.com/#operation/getHook                     |
| updateHook                  | https://open-api.netlify.com/#operation/updateHook                  |
| deleteHook                  | https://open-api.netlify.com/#operation/deleteHook                  |
| enableHook                  | https://open-api.netlify.com/#operation/enableHook                  |
| listHookTypes               | https://open-api.netlify.com/#operation/listHookTypes               |
| createTicket                | https://open-api.netlify.com/#operation/createTicket                |
| showTicket                  | https://open-api.netlify.com/#operation/showTicket                  |
| exchangeTicket              | https://open-api.netlify.com/#operation/exchangeTicket              |
| listDeployKeys              | https://open-api.netlify.com/#operation/listDeployKeys              |
